steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
1010	27	28.3540620803833	0.41036985665559766	0.6931471824645996	0.413008218307803	0.6931471824645996	-0.2784140706062317	0.1962775	9.210379	0.024496773164719342	3.799796104431152e-09	120	-0.003578219206071598
2006	52	53.38206934928894	0.49017798602581025	0.6931471824645996	0.3779044816896155	0.6931471824645996	-0.2739636301994324	0.19632415	9.210379	0.02486235149204731	9.778887033462525e-10	280	0.003661728853402657
3055	71	74.52309513092041	0.6931471824645996	0.6931471824645996	0.0	0.6931471824645996	0.6931471824645996	0.19838473	9.210379	0.03137176245450973	1.6102567315101623e-08	440	0.019337617941752483
4044	89	101.63248586654663	0.2193673312664032	0.262852281332016	0.5004673966746466	0.6931471824645996	-0.2810555696487427	0.19755335	9.210379	0.02928233760409057	1.205597072839737e-08	600	0.0070082870026907385
5027	108	130.43135690689087	0.6931471824645996	0.6931471824645996	0.0	0.6931471824645996	0.6931471824645996	0.19754876	9.210379	0.030199001701548697	1.7667189240455626e-08	760	0.030136408964432926
6021	128	153.02822399139404	0.5959512114524841	0.6931471824645996	0.3073606477899862	0.6931471824645996	-0.2788125276565552	0.19698913	9.210379	0.022784177213907242	-9.685754776000977e-10	920	-0.020447976740461282
7013	152	175.62766981124878	0.6931471824645996	0.6931471824645996	0.0	0.6931471824645996	0.6931471824645996	0.1970295	9.210379	0.03294617759995162	2.5331974029541017e-09	1080	-0.009564374321436642
8051	174	196.42930269241333	0.5959285259246826	0.6931471824645996	0.307432385727762	0.6931471824645996	-0.2790393829345703	0.19717714	9.210379	0.01972329487092793	1.035630702972412e-08	1240	-0.01017705813236125
9036	197	219.43039989471436	0.6714492321014405	0.6931471824645996	0.06861494370486064	0.6931471824645996	0.4761676788330078	0.19720908	9.210379	0.028312136866152287	-1.7462298274040222e-09	1400	-0.009043874722888257
10098	215	242.2956109046936	0.3180167615413666	0.6931471824645996	0.4851860328140716	0.6931471824645996	-0.28069305419921875	0.19793466	9.210379	0.0342105838470161	9.350478649139404e-09	1560	-0.009625445739146032
11055	236	265.0779597759247	0.505491316318512	0.6931471824645996	0.3959728765755338	0.6931471824645996	-0.28092116117477417	0.19760604	9.210379	0.027146519534289835	-2.8405338525772093e-09	1720	0.018112927299772208
12047	257	287.32340025901794	0.5958029985427856	0.6931471824645996	0.30782933816327424	0.6931471824645996	-0.28029465675354004	0.19688705	9.210379	0.03224865821190179	-8.824281394481659e-09	1880	-0.002673257423453146
13053	279	304.36397075653076	0.4010463893413544	0.6931471824645996	0.4703270430258913	0.6931471824645996	-0.28109538555145264	0.19752575	9.210379	0.02621036789380014	-1.06077641248703e-08	2000	-0.002161192918363808
14017	302	325.7081344127655	0.5743469014763832	0.6931471824645996	0.3070747768701557	0.6931471824645996	-0.27775871753692627	0.19681488	9.210379	0.030733973030000927	8.405186235904694e-09	2160	-0.0074882013399188985
15077	332	349.44575929641724	0.5964499115943909	0.6931471824645996	0.3057836194721117	0.6931471824645996	-0.2738255262374878	0.19634162	9.210379	0.025201381435617804	1.216307282447815e-08	2320	-0.01345423882959218
16080	359	374.36633372306824	0.5195353150367736	0.6931471824645996	0.36920918855280416	0.6931471824645996	-0.27785778045654297	0.19612072	9.210379	0.02799199148081243	-8.475035429000854e-09	2480	0.00503085677909354
17009	382	400.6815903186798	0.649727138876915	0.6931471824645996	0.09153748924251523	0.6931471824645996	0.4760434180498123	0.19681735	9.210379	0.028597668968141077	-1.2908130884170532e-08	2640	0.013093165567860554
18096	408	424.2817006111145	0.4557409644126892	0.6931471824645996	0.3963766284667547	0.6931471824645996	-0.2810434103012085	0.19724885	9.210379	0.024723217748105528	-5.960464477539063e-10	2800	-0.033177558515237626
19052	431	445.1939928531647	0.6500949531793594	0.6931471824645996	0.09076499947891935	0.6931471824645996	0.476338729262352	0.19686356	9.210379	0.02489783410914242	-5.736947059631348e-09	2960	0.015562366431425612
20039	458	468.0866482257843	0.6931471824645996	0.6931471824645996	0.0	0.6931471824645996	0.6931471824645996	0.1956694	9.210379	0.03408777227625251	2.3096799850463867e-09	3120	0.0025698474598857546
