steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
1024	32	31.703041315078735	-2.00524283349514	-2.401858329772949	1.1336980682268254	-0.38562414050102234	-3.6303818225860596	-1.731994	9.210379	1.1532416880130767	-9.350478649139404e-09	160	0.0561959031987852
2016	63	55.719196796417236	-1.6851016253232955	-1.6380382180213928	1.1368498398733238	-0.26364096999168396	-4.250278949737549	-1.687223	9.210379	0.8392441615462303	-4.423782229423523e-09	280	0.0939875335956506
3008	94	86.6189341545105	-1.5576991707086563	-0.8815707564353943	1.2627657873756886	-0.27313604950904846	-3.5306475162506104	-1.8210229	9.210379	1.1412275618314742	-1.5925616025924682e-09	440	-0.21343649214034244
4000	125	117.47889566421509	-1.4562500834465026	-1.380077838897705	0.535169129901736	-0.499133825302124	-2.263481616973877	-1.6120869	9.210379	0.7568596428632737	-6.332993507385254e-10	600	0.23244105027200224
5024	157	148.39606046676636	-1.5871716499328614	-1.5953437685966492	0.62113345561736	-0.6235753893852234	-2.419929265975952	-1.7431774	9.210379	1.0540739107131958	9.220093488693237e-10	760	-0.38208842895787765
6016	188	179.30081629753113	-2.004044198989868	-1.8040418028831482	0.8155623446693073	-0.7076233625411987	-3.713545322418213	-1.6631272	9.210379	0.9628599256277084	-2.346932888031006e-09	920	0.34490616777460115
7008	219	210.31388211250305	-1.836963850259781	-1.7729330658912659	0.6724001135719752	-0.9445049166679382	-2.906351327896118	-1.6755704	9.210379	0.7530488801002503	-4.8428773880004884e-09	1080	0.3978572657166052
8000	250	241.25596499443054	-1.8622007489204406	-1.6345133781433105	1.0802348704767843	-0.567643940448761	-3.7305095195770264	-1.8489484	9.210379	0.8863186296820641	8.326023817062377e-09	1240	0.3132598027315834
9024	282	272.25765085220337	-1.5448132932186127	-1.5495584607124329	0.5979145534146392	-0.5672500729560852	-2.6557977199554443	-1.8454622	9.210379	0.8207558989524841	-4.358589649200439e-09	1400	-0.1652648368076135
10000	313	303.1885793209076	-1.446933537721634	-1.3691134452819824	0.5913643025938885	-0.7443585991859436	-2.754018545150757	-1.6158893	9.210379	0.8275525566935539	1.4202669262886047e-10	1560	0.22510913381483266
