steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
1036	43	1.2572412490844727	19.6	16.0	11.730302638892145	50.0	9.0	0.2440171	0.68861306	9.097921204566955	-0.0062277732603251935	160	-0.011518510429670448
2045	93	2.1065165996551514	27.1	22.5	10.94887107321014	49.0	15.0	5.4200573	0.68723035	9.097921204566955	-0.0062277732603251935	160	-0.011518510429670448
3034	143	3.0650293827056885	18.5	18.0	5.622375931144333	30.0	9.0	6.067655	0.6705921	2.452925887107849	-0.007357824863865972	320	-0.5323989377710001
4011	190	3.9904329776763916	22.9	21.0	8.761658899242008	42.0	12.0	6.654018	0.67525035	1.818674038052559	-0.04126351540908217	480	0.5320518876708223
5007	218	5.015320062637329	45.7	35.5	27.51585401586188	119.0	25.0	7.1955633	0.6647426	2.348885282278061	-0.03321882260963321	640	0.48295311282577735
6087	234	6.075632572174072	65.8	58.5	39.36100721385174	139.0	20.0	7.816917	0.6458716	2.044850457906723	-0.023213317738845943	800	0.3542395059705279
7015	247	7.229055643081665	79.2	71.0	53.45984993951588	186.0	17.0	8.586944	0.6162293	1.7666585570573807	-0.011440425869077444	960	0.2883980235318966
8067	254	8.368269205093384	109.4	120.5	47.553945974837646	170.0	23.0	9.161303	0.61770445	1.6874623662233352	-0.016877724672667682	1120	0.2968704915464333
9127	261	9.57613205909729	138.7	156.0	52.05990139573195	200.0	42.0	9.437164	0.58959025	0.949917573928833	-0.005121386693790555	1280	0.21449147953599723
10123	267	10.972278356552124	128.5	147.0	75.3882543164974	200.0	24.0	9.523175	0.601542	0.7747733695805072	-0.007483911374583841	1440	0.3637777105647424
11048	273	12.336344480514526	180.6	197.0	41.33655901391783	200.0	67.0	9.322476	0.5882557	1.118600043952465	-0.0021847622096538544	1600	0.23755016291588582
12039	278	13.699488162994385	172.4	190.5	41.48681182683909	200.0	75.0	9.486639	0.5836821	1.1527333170175553	-0.00480172872543335	1760	0.33769454766244666
13138	285	14.911857604980469	142.9	184.5	74.28989762335716	200.0	17.0	9.136444	0.5837005	0.947201243788004	-0.0001865242701023817	1920	0.21359338869741085
14100	290	16.206921577453613	194.6	200.0	17.07629936490925	200.0	146.0	9.491855	0.5905941	0.8278214646875859	-0.010830800142139196	2080	0.2720748107129156
15171	296	17.55169129371643	156.4	186.5	68.55849084297776	200.0	29.0	9.2399435	0.583776	1.1355728481709957	-0.005746610499918461	2240	0.24411423493705153
16067	301	19.051549196243286	161.6	171.0	39.305639968499854	200.0	71.0	9.0660095	0.57788	0.7009778303653001	-0.0031398064363747837	2400	0.4441263873152863
17134	307	20.350829124450684	156.5	165.0	49.23695540727288	197.0	23.0	9.31326	0.5864555	0.5711574894189835	-0.0023012017272412777	2560	0.6466824290576232
18078	313	21.580837965011597	159.8	172.0	44.91918669492284	200.0	42.0	9.332348	0.5714304	0.7747341934591532	-0.001963430535979569	2720	0.5520726303007014
19046	318	22.941442251205444	179.7	200.0	53.329270678597425	200.0	31.0	9.423098	0.57706463	0.5855188626796007	-0.013778077056631446	2880	0.6156902372191264
20020	323	24.26621389389038	165.1	179.0	39.48121916388432	200.0	84.0	9.513073	0.58075744	0.7627167285978794	-0.0033502160757780076	3040	0.5181722636159334
21089	329	25.814553022384644	200.0	200.0	0.0	200.0	200.0	9.679531	0.5809586	0.7171761667728425	-0.0030438193399459123	3200	0.50522561445641
22023	334	27.1101176738739	190.5	200.0	29.34564135722146	200.0	107.0	9.659515	0.5952316	1.0443311193585396	-0.0036808535270392894	3360	0.3469448808845129
23130	341	28.53048324584961	161.6	200.0	60.964835037184436	200.0	33.0	9.253364	0.59928846	1.3293522711098194	-0.001799007896333933	3520	-0.11423460892021287
24130	346	29.77476668357849	149.0	198.0	67.79708286087569	200.0	49.0	9.295185	0.5868308	1.053121355548501	-0.0061381424451246855	3680	0.1582279168468098
25066	351	30.955583572387695	155.6	179.5	65.52217605937363	200.0	23.0	8.948621	0.5838374	0.6641597595438361	-0.0038574549555778505	3840	0.3399404292496314
26108	357	32.21975636482239	172.1	200.0	41.653197823083026	200.0	95.0	9.273261	0.57965195	0.8382244524359703	-0.00627788090147078	4000	0.4998417281516264
27007	362	33.45108985900879	144.7	173.0	66.88638791928362	200.0	16.0	9.504841	0.59423256	1.1443682485818862	-0.006452475059777498	4160	0.27060149027360647
28071	369	34.79300808906555	200.0	200.0	0.0	200.0	200.0	9.370021	0.5935171	1.0649864303320646	-0.006602163044735789	4320	0.0982880754655222
29014	375	36.087602853775024	192.3	200.0	24.34953798329652	200.0	123.0	8.594257	0.5794098	1.1671660241484643	-0.007112062913365662	4480	0.3190199656220256
30014	380	37.333640813827515	176.1	200.0	36.658938579530336	200.0	101.0	9.270743	0.59893763	1.0539536290615796	0.00022592405322939158	4640	-0.05760544627754616
31150	386	38.77674889564514	196.3	200.0	7.803845206050668	200.0	181.0	9.248877	0.59778345	0.8587722088396549	-0.007618603846058249	4800	0.2581764732525005
32027	391	40.16246056556702	185.0	186.5	13.695092389449425	200.0	159.0	9.245356	0.5890455	1.101253404468298	-0.0064132044836878776	4960	0.19841899283374542
33068	397	41.56364989280701	190.0	200.0	17.682382946499793	200.0	151.0	9.114681	0.5617579	0.5552241001278162	-0.010769567512907087	5120	0.5485516294170283
34114	403	42.891751527786255	188.7	200.0	31.127158559688674	200.0	101.0	9.625432	0.57407403	1.0991700948774814	-0.007223784681409598	5280	0.2849229519855153
35114	408	44.33282446861267	192.3	199.0	10.360716405946283	200.0	172.0	9.430612	0.5875334	0.9419802333414554	-0.0005951160099357366	5440	0.2545469810577582
36147	414	45.75818657875061	200.0	200.0	0.0	200.0	200.0	9.239543	0.5740046	1.0203657288104295	-0.004365987088531256	5600	0.033620370241759234
